Distance,Pressure
 0.000000E+00, 5.335588E-02
 6.000161E-05, 5.330590E-02
 1.200032E-04, 5.325592E-02
 1.800048E-04, 5.320593E-02
 2.400064E-04, 5.315594E-02
 3.000080E-04, 5.310596E-02
 3.600096E-04, 5.305598E-02
 4.200113E-04, 5.300599E-02
 4.800129E-04, 5.295601E-02
 5.400145E-04, 5.290603E-02
 6.000161E-04, 5.285604E-02
 6.600177E-04, 5.280606E-02
 7.200193E-04, 5.275937E-02
 7.800209E-04, 5.271328E-02
 8.400225E-04, 5.266719E-02
 9.000241E-04, 5.262110E-02
 9.600258E-04, 5.257501E-02
 1.020027E-03, 5.252891E-02
 1.080029E-03, 5.248282E-02
 1.140031E-03, 5.243673E-02
 1.200032E-03, 5.239064E-02
 1.260034E-03, 5.234455E-02
 1.320035E-03, 5.229846E-02
 1.380037E-03, 5.225237E-02
 1.440039E-03, 5.220628E-02
 1.500040E-03, 5.216019E-02
 1.560042E-03, 5.211410E-02
 1.620044E-03, 5.206800E-02
 1.680045E-03, 5.202191E-02
 1.740047E-03, 5.197582E-02
 1.800048E-03, 5.192973E-02
 1.860050E-03, 5.188364E-02
 1.920052E-03, 5.183755E-02
 1.980053E-03, 5.179146E-02
 2.040055E-03, 5.174537E-02
 2.100056E-03, 5.169927E-02
 2.160058E-03, 5.165318E-02
 2.220060E-03, 5.160709E-02
 2.280061E-03, 5.156100E-02
 2.340063E-03, 5.151491E-02
 2.400064E-03, 5.146882E-02
 2.460066E-03, 5.142273E-02
 2.520068E-03, 5.137664E-02
 2.580069E-03, 5.133326E-02
 2.640071E-03, 5.128997E-02
 2.700072E-03, 5.124668E-02
 2.760074E-03, 5.120339E-02
 2.820075E-03, 5.116010E-02
 2.880077E-03, 5.111681E-02
 2.940079E-03, 5.107351E-02
 3.000080E-03, 5.103022E-02
 3.060082E-03, 5.098693E-02
 3.120084E-03, 5.094364E-02
 3.180085E-03, 5.090035E-02
 3.240087E-03, 5.085705E-02
 3.300088E-03, 5.081376E-02
 3.360090E-03, 5.077047E-02
 3.420092E-03, 5.072718E-02
 3.480093E-03, 5.068389E-02
 3.540095E-03, 5.064060E-02
 3.600097E-03, 5.059730E-02
 3.660098E-03, 5.055401E-02
 3.720100E-03, 5.051072E-02
 3.780101E-03, 5.046743E-02
 3.840103E-03, 5.042414E-02
 3.900104E-03, 5.038085E-02
 3.960106E-03, 5.033755E-02
 4.020108E-03, 5.029426E-02
 4.080109E-03, 5.025097E-02
 4.140111E-03, 5.020768E-02
 4.200113E-03, 5.016439E-02
 4.260114E-03, 5.012110E-02
 4.320116E-03, 5.007781E-02
 4.380118E-03, 5.003452E-02
 4.440119E-03, 4.999122E-02
 4.500120E-03, 4.994793E-02
 4.560122E-03, 4.990465E-02
 4.620124E-03, 4.986338E-02
 4.680126E-03, 4.982210E-02
 4.740127E-03, 4.978083E-02
 4.800129E-03, 4.973955E-02
 4.860130E-03, 4.969827E-02
 4.920132E-03, 4.965700E-02
 4.980133E-03, 4.961572E-02
 5.040135E-03, 4.957445E-02
 5.100137E-03, 4.953317E-02
 5.160138E-03, 4.949189E-02
 5.220140E-03, 4.945062E-02
 5.280142E-03, 4.940934E-02
 5.340143E-03, 4.936807E-02
 5.400145E-03, 4.932680E-02
 5.460146E-03, 4.928552E-02
 5.520148E-03, 4.924425E-02
 5.580150E-03, 4.920297E-02
 5.640151E-03, 4.916169E-02
 5.700153E-03, 4.912042E-02
 5.760154E-03, 4.907914E-02
 5.820156E-03, 4.903787E-02
 5.880157E-03, 4.899659E-02
 5.940159E-03, 4.895532E-02
 6.000161E-03, 4.891404E-02
 6.060163E-03, 4.887276E-02
 6.120164E-03, 4.883149E-02
 6.180166E-03, 4.879022E-02
 6.240167E-03, 4.874894E-02
 6.300169E-03, 4.870767E-02
 6.360170E-03, 4.866639E-02
 6.420172E-03, 4.862511E-02
 6.480174E-03, 4.858384E-02
 6.540175E-03, 4.854256E-02
 6.600177E-03, 4.850129E-02
 6.660179E-03, 4.846001E-02
 6.720180E-03, 4.841874E-02
 6.780182E-03, 4.837746E-02
 6.840183E-03, 4.833714E-02
 6.900185E-03, 4.829734E-02
 6.960187E-03, 4.825754E-02
 7.020188E-03, 4.821774E-02
 7.080190E-03, 4.817794E-02
 7.140191E-03, 4.813813E-02
 7.200193E-03, 4.809834E-02
 7.260195E-03, 4.805853E-02
 7.320196E-03, 4.801873E-02
 7.380198E-03, 4.797893E-02
 7.440200E-03, 4.793913E-02
 7.500201E-03, 4.789934E-02
 7.560202E-03, 4.785953E-02
 7.620204E-03, 4.781973E-02
 7.680206E-03, 4.777993E-02
 7.740207E-03, 4.774013E-02
 7.800209E-03, 4.770033E-02
 7.860211E-03, 4.766053E-02
 7.920212E-03, 4.762073E-02
 7.980214E-03, 4.758093E-02
 8.040216E-03, 4.754113E-02
 8.100217E-03, 4.750133E-02
 8.160219E-03, 4.746153E-02
 8.220220E-03, 4.742173E-02
 8.280222E-03, 4.738193E-02
 8.340224E-03, 4.734213E-02
 8.400225E-03, 4.730233E-02
 8.460226E-03, 4.726253E-02
 8.520229E-03, 4.722273E-02
 8.580230E-03, 4.718293E-02
 8.640232E-03, 4.714313E-02
 8.700233E-03, 4.710332E-02
 8.760235E-03, 4.706352E-02
 8.820237E-03, 4.702372E-02
 8.880238E-03, 4.698392E-02
 8.940239E-03, 4.694412E-02
 9.000241E-03, 4.690433E-02
 9.060243E-03, 4.686452E-02
 9.120245E-03, 4.682472E-02
 9.180246E-03, 4.678492E-02
 9.240247E-03, 4.674512E-02
 9.300249E-03, 4.670592E-02
 9.360251E-03, 4.666721E-02
 9.420252E-03, 4.662850E-02
 9.480254E-03, 4.658979E-02
 9.540256E-03, 4.655107E-02
 9.600258E-03, 4.651237E-02
 9.660259E-03, 4.647366E-02
 9.720260E-03, 4.643495E-02
 9.780263E-03, 4.639624E-02
 9.840264E-03, 4.635752E-02
 9.900265E-03, 4.631882E-02
 9.960267E-03, 4.628010E-02
 1.002027E-02, 4.624140E-02
 1.008027E-02, 4.620269E-02
 1.014027E-02, 4.616397E-02
 1.020027E-02, 4.612526E-02
 1.026028E-02, 4.608655E-02
 1.032028E-02, 4.604784E-02
 1.038028E-02, 4.600913E-02
 1.044028E-02, 4.597043E-02
 1.050028E-02, 4.593171E-02
 1.056028E-02, 4.589300E-02
 1.062028E-02, 4.585429E-02
 1.068029E-02, 4.581558E-02
 1.074029E-02, 4.577687E-02
 1.080029E-02, 4.573816E-02
 1.086029E-02, 4.569945E-02
 1.092029E-02, 4.566074E-02
 1.098029E-02, 4.562203E-02
 1.104030E-02, 4.558332E-02
 1.110030E-02, 4.554461E-02
 1.116030E-02, 4.550590E-02
 1.122030E-02, 4.546719E-02
 1.128030E-02, 4.542848E-02
 1.134030E-02, 4.538977E-02
 1.140031E-02, 4.535105E-02
 1.146031E-02, 4.531235E-02
 1.152031E-02, 4.527364E-02
 1.158031E-02, 4.523493E-02
 1.164031E-02, 4.519622E-02
 1.170031E-02, 4.515751E-02
 1.176031E-02, 4.511880E-02
 1.182032E-02, 4.508009E-02
 1.188032E-02, 4.504137E-02
 1.194032E-02, 4.500267E-02
 1.200032E-02, 4.496423E-02
 1.206032E-02, 4.492633E-02
 1.212033E-02, 4.488842E-02
 1.218033E-02, 4.485051E-02
 1.224033E-02, 4.481261E-02
 1.230033E-02, 4.477470E-02
 1.236033E-02, 4.473680E-02
 1.242033E-02, 4.469889E-02
 1.248033E-02, 4.466099E-02
