Distance,Pressure
 0.000000E+00, 5.316728E-02
 6.000161E-05, 5.311720E-02
 1.200032E-04, 5.306713E-02
 1.800048E-04, 5.301705E-02
 2.400064E-04, 5.296697E-02
 3.000080E-04, 5.291690E-02
 3.600096E-04, 5.286683E-02
 4.200113E-04, 5.281675E-02
 4.800129E-04, 5.276668E-02
 5.400145E-04, 5.271661E-02
 6.000161E-04, 5.266653E-02
 6.600177E-04, 5.261645E-02
 7.200193E-04, 5.256972E-02
 7.800209E-04, 5.252358E-02
 8.400225E-04, 5.247745E-02
 9.000241E-04, 5.243132E-02
 9.600258E-04, 5.238518E-02
 1.020027E-03, 5.233904E-02
 1.080029E-03, 5.229291E-02
 1.140031E-03, 5.224678E-02
 1.200032E-03, 5.220065E-02
 1.260034E-03, 5.215451E-02
 1.320035E-03, 5.210838E-02
 1.380037E-03, 5.206224E-02
 1.440039E-03, 5.201611E-02
 1.500040E-03, 5.196998E-02
 1.560042E-03, 5.192384E-02
 1.620044E-03, 5.187771E-02
 1.680045E-03, 5.183157E-02
 1.740047E-03, 5.178544E-02
 1.800048E-03, 5.173931E-02
 1.860050E-03, 5.169317E-02
 1.920052E-03, 5.164704E-02
 1.980053E-03, 5.160090E-02
 2.040055E-03, 5.155477E-02
 2.100056E-03, 5.150863E-02
 2.160058E-03, 5.146250E-02
 2.220060E-03, 5.141637E-02
 2.280061E-03, 5.137023E-02
 2.340063E-03, 5.132410E-02
 2.400064E-03, 5.127796E-02
 2.460066E-03, 5.123183E-02
 2.520068E-03, 5.118570E-02
 2.580069E-03, 5.114231E-02
 2.640071E-03, 5.109901E-02
 2.700072E-03, 5.105571E-02
 2.760074E-03, 5.101241E-02
 2.820075E-03, 5.096911E-02
 2.880077E-03, 5.092581E-02
 2.940079E-03, 5.088251E-02
 3.000080E-03, 5.083920E-02
 3.060082E-03, 5.079591E-02
 3.120084E-03, 5.075260E-02
 3.180085E-03, 5.070930E-02
 3.240087E-03, 5.066600E-02
 3.300088E-03, 5.062270E-02
 3.360090E-03, 5.057940E-02
 3.420092E-03, 5.053610E-02
 3.480093E-03, 5.049280E-02
 3.540095E-03, 5.044950E-02
 3.600097E-03, 5.040620E-02
 3.660098E-03, 5.036290E-02
 3.720100E-03, 5.031960E-02
 3.780101E-03, 5.027630E-02
 3.840103E-03, 5.023300E-02
 3.900104E-03, 5.018969E-02
 3.960106E-03, 5.014639E-02
 4.020108E-03, 5.010309E-02
 4.080109E-03, 5.005980E-02
 4.140111E-03, 5.001649E-02
 4.200113E-03, 4.997319E-02
 4.260114E-03, 4.992989E-02
 4.320116E-03, 4.988659E-02
 4.380118E-03, 4.984329E-02
 4.440119E-03, 4.979999E-02
 4.500120E-03, 4.975669E-02
 4.560122E-03, 4.971340E-02
 4.620124E-03, 4.967214E-02
 4.680126E-03, 4.963088E-02
 4.740127E-03, 4.958962E-02
 4.800129E-03, 4.954836E-02
 4.860130E-03, 4.950710E-02
 4.920132E-03, 4.946584E-02
 4.980133E-03, 4.942458E-02
 5.040135E-03, 4.938332E-02
 5.100137E-03, 4.934206E-02
 5.160138E-03, 4.930080E-02
 5.220140E-03, 4.925954E-02
 5.280142E-03, 4.921828E-02
 5.340143E-03, 4.917702E-02
 5.400145E-03, 4.913576E-02
 5.460146E-03, 4.909450E-02
 5.520148E-03, 4.905324E-02
 5.580150E-03, 4.901198E-02
 5.640151E-03, 4.897072E-02
 5.700153E-03, 4.892946E-02
 5.760154E-03, 4.888820E-02
 5.820156E-03, 4.884694E-02
 5.880157E-03, 4.880568E-02
 5.940159E-03, 4.876442E-02
 6.000161E-03, 4.872316E-02
 6.060163E-03, 4.868190E-02
 6.120164E-03, 4.864064E-02
 6.180166E-03, 4.859938E-02
 6.240167E-03, 4.855812E-02
 6.300169E-03, 4.851686E-02
 6.360170E-03, 4.847560E-02
 6.420172E-03, 4.843434E-02
 6.480174E-03, 4.839308E-02
 6.540175E-03, 4.835182E-02
 6.600177E-03, 4.831056E-02
 6.660179E-03, 4.826930E-02
 6.720180E-03, 4.822804E-02
 6.780182E-03, 4.818678E-02
 6.840183E-03, 4.814648E-02
 6.900185E-03, 4.810672E-02
 6.960187E-03, 4.806696E-02
 7.020188E-03, 4.802719E-02
 7.080190E-03, 4.798742E-02
 7.140191E-03, 4.794766E-02
 7.200193E-03, 4.790789E-02
 7.260195E-03, 4.786813E-02
 7.320196E-03, 4.782836E-02
 7.380198E-03, 4.778859E-02
 7.440200E-03, 4.774883E-02
 7.500201E-03, 4.770906E-02
 7.560202E-03, 4.766930E-02
 7.620204E-03, 4.762954E-02
 7.680206E-03, 4.758977E-02
 7.740207E-03, 4.755000E-02
 7.800209E-03, 4.751024E-02
 7.860211E-03, 4.747047E-02
 7.920212E-03, 4.743071E-02
 7.980214E-03, 4.739094E-02
 8.040216E-03, 4.735117E-02
 8.100217E-03, 4.731141E-02
 8.160219E-03, 4.727164E-02
 8.220220E-03, 4.723188E-02
 8.280222E-03, 4.719211E-02
 8.340224E-03, 4.715235E-02
 8.400225E-03, 4.711258E-02
 8.460226E-03, 4.707281E-02
 8.520229E-03, 4.703305E-02
 8.580230E-03, 4.699328E-02
 8.640232E-03, 4.695352E-02
 8.700233E-03, 4.691375E-02
 8.760235E-03, 4.687399E-02
 8.820237E-03, 4.683422E-02
 8.880238E-03, 4.679446E-02
 8.940239E-03, 4.675469E-02
 9.000241E-03, 4.671492E-02
 9.060243E-03, 4.667516E-02
 9.120245E-03, 4.663539E-02
 9.180246E-03, 4.659563E-02
 9.240247E-03, 4.655586E-02
 9.300249E-03, 4.651670E-02
 9.360251E-03, 4.647804E-02
 9.420252E-03, 4.643938E-02
 9.480254E-03, 4.640073E-02
 9.540256E-03, 4.636207E-02
 9.600258E-03, 4.632341E-02
 9.660259E-03, 4.628475E-02
 9.720260E-03, 4.624610E-02
 9.780263E-03, 4.620744E-02
 9.840264E-03, 4.616878E-02
 9.900265E-03, 4.613012E-02
 9.960267E-03, 4.609146E-02
 1.002027E-02, 4.605281E-02
 1.008027E-02, 4.601415E-02
 1.014027E-02, 4.597549E-02
 1.020027E-02, 4.593683E-02
 1.026028E-02, 4.589817E-02
 1.032028E-02, 4.585952E-02
 1.038028E-02, 4.582085E-02
 1.044028E-02, 4.578220E-02
 1.050028E-02, 4.574354E-02
 1.056028E-02, 4.570488E-02
 1.062028E-02, 4.566623E-02
 1.068029E-02, 4.562756E-02
 1.074029E-02, 4.558891E-02
 1.080029E-02, 4.555025E-02
 1.086029E-02, 4.551159E-02
 1.092029E-02, 4.547293E-02
 1.098029E-02, 4.543427E-02
 1.104030E-02, 4.539562E-02
 1.110030E-02, 4.535696E-02
 1.116030E-02, 4.531830E-02
 1.122030E-02, 4.527964E-02
 1.128030E-02, 4.524098E-02
 1.134030E-02, 4.520233E-02
 1.140031E-02, 4.516367E-02
 1.146031E-02, 4.512501E-02
 1.152031E-02, 4.508635E-02
 1.158031E-02, 4.504769E-02
 1.164031E-02, 4.500904E-02
 1.170031E-02, 4.497038E-02
 1.176031E-02, 4.493172E-02
 1.182032E-02, 4.489306E-02
 1.188032E-02, 4.485441E-02
 1.194032E-02, 4.481575E-02
 1.200032E-02, 4.477737E-02
 1.206032E-02, 4.473953E-02
 1.212033E-02, 4.470169E-02
 1.218033E-02, 4.466385E-02
 1.224033E-02, 4.462602E-02
 1.230033E-02, 4.458818E-02
 1.236033E-02, 4.455034E-02
 1.242033E-02, 4.451250E-02
 1.248033E-02, 4.447466E-02
 1.254034E-02, 4.443683E-02
 1.260034E-02, 4.439899E-02
 1.266034E-02, 4.436114E-02
 1.272034E-02, 4.432331E-02
 1.278034E-02, 4.428547E-02
 1.284034E-02, 4.424763E-02
 1.290035E-02, 4.420979E-02
 1.296035E-02, 4.417196E-02
 1.302035E-02, 4.413412E-02
 1.308035E-02, 4.409628E-02
 1.314035E-02, 4.405844E-02
 1.320035E-02, 4.402060E-02
 1.326036E-02, 4.398277E-02
 1.332036E-02, 4.394493E-02
 1.338036E-02, 4.390709E-02
 1.344036E-02, 4.386925E-02
 1.350036E-02, 4.383142E-02
 1.356036E-02, 4.379357E-02
 1.362037E-02, 4.375573E-02
 1.368037E-02, 4.371790E-02
 1.374037E-02, 4.368006E-02
 1.380037E-02, 4.364222E-02
 1.386037E-02, 4.360438E-02
 1.392037E-02, 4.356655E-02
 1.398038E-02, 4.352871E-02
 1.404038E-02, 4.349087E-02
 1.410038E-02, 4.345303E-02
 1.416038E-02, 4.341519E-02
 1.422038E-02, 4.337735E-02
 1.428038E-02, 4.333952E-02
 1.434038E-02, 4.330168E-02
 1.440039E-02, 4.326384E-02
 1.446039E-02, 4.322600E-02
 1.452039E-02, 4.318816E-02
 1.458039E-02, 4.315033E-02
 1.464039E-02, 4.311249E-02
 1.470039E-02, 4.307465E-02
 1.476040E-02, 4.303681E-02
 1.482040E-02, 4.299897E-02
 1.488040E-02, 4.296114E-02
 1.494040E-02, 4.292330E-02
 1.500040E-02, 4.288583E-02
 1.506040E-02, 4.284859E-02
 1.512040E-02, 4.281135E-02
 1.518041E-02, 4.277411E-02
 1.524041E-02, 4.273687E-02
 1.530041E-02, 4.269963E-02
 1.536041E-02, 4.266239E-02
 1.542041E-02, 4.262515E-02
 1.548041E-02, 4.258791E-02
 1.554042E-02, 4.255067E-02
 1.560042E-02, 4.251343E-02
 1.566042E-02, 4.247619E-02
 1.572042E-02, 4.243895E-02
 1.578042E-02, 4.240171E-02
 1.584042E-02, 4.236447E-02
 1.590043E-02, 4.232723E-02
 1.596043E-02, 4.228999E-02
 1.602043E-02, 4.225275E-02
 1.608043E-02, 4.221551E-02
 1.614043E-02, 4.217827E-02
 1.620043E-02, 4.214103E-02
 1.626044E-02, 4.210379E-02
 1.632044E-02, 4.206655E-02
 1.638044E-02, 4.202931E-02
 1.644044E-02, 4.199207E-02
 1.650044E-02, 4.195483E-02
 1.656044E-02, 4.191759E-02
 1.662045E-02, 4.188035E-02
 1.668045E-02, 4.184312E-02
 1.674045E-02, 4.180587E-02
 1.680045E-02, 4.176863E-02
 1.686045E-02, 4.173139E-02
 1.692045E-02, 4.169415E-02
 1.698046E-02, 4.165691E-02
 1.704046E-02, 4.161967E-02
