Distance,X-Velocity
 0.000000E+00, 1.306812E-04
 1.001249E-05, 1.461245E-04
 2.002498E-05, 1.615679E-04
 3.003747E-05, 1.770113E-04
 4.004996E-05, 1.924547E-04
 5.006246E-05, 2.078980E-04
 6.007495E-05, 2.233414E-04
 7.008744E-05, 2.387848E-04
 8.009993E-05, 2.542281E-04
 9.011241E-05, 2.733835E-04
 1.001249E-04, 3.025642E-04
 1.101374E-04, 3.317450E-04
 1.201499E-04, 3.609257E-04
 1.301624E-04, 3.901064E-04
 1.401749E-04, 4.192872E-04
 1.501874E-04, 4.484680E-04
 1.601999E-04, 4.776487E-04
 1.702124E-04, 5.068295E-04
 1.802248E-04, 5.360103E-04
 1.902373E-04, 5.647863E-04
 2.002498E-04, 5.933602E-04
 2.102623E-04, 6.219340E-04
 2.202748E-04, 6.505079E-04
 2.302873E-04, 6.790818E-04
 2.402998E-04, 7.076557E-04
 2.503123E-04, 7.362296E-04
 2.603248E-04, 7.648035E-04
 2.703373E-04, 7.933773E-04
 2.803497E-04, 8.219511E-04
 2.903623E-04, 8.504556E-04
 3.003747E-04, 8.783619E-04
 3.103872E-04, 9.062682E-04
 3.203997E-04, 9.341745E-04
 3.304122E-04, 9.620808E-04
 3.404247E-04, 9.899870E-04
 3.504371E-04, 1.017893E-03
 3.604496E-04, 1.045800E-03
 3.704621E-04, 1.073706E-03
 3.804746E-04, 1.101612E-03
 3.904871E-04, 1.129519E-03
 4.004995E-04, 1.157425E-03
 4.105120E-04, 1.184975E-03
 4.205245E-04, 1.212147E-03
 4.305370E-04, 1.239319E-03
 4.405495E-04, 1.266491E-03
 4.505619E-04, 1.293663E-03
 4.605744E-04, 1.320835E-03
 4.705869E-04, 1.348007E-03
 4.805994E-04, 1.375179E-03
 4.906119E-04, 1.402351E-03
 5.006244E-04, 1.429523E-03
 5.106369E-04, 1.456695E-03
 5.206494E-04, 1.483867E-03
 5.306619E-04, 1.511039E-03
 5.406744E-04, 1.537642E-03
 5.506870E-04, 1.564007E-03
 5.606995E-04, 1.590371E-03
 5.707120E-04, 1.616735E-03
 5.807245E-04, 1.643099E-03
 5.907370E-04, 1.669463E-03
 6.007495E-04, 1.695827E-03
 6.107620E-04, 1.722192E-03
 6.207745E-04, 1.748556E-03
 6.307870E-04, 1.774920E-03
 6.407996E-04, 1.801284E-03
 6.508121E-04, 1.827648E-03
 6.608246E-04, 1.854012E-03
 6.708371E-04, 1.880377E-03
 6.808496E-04, 1.906168E-03
 6.908621E-04, 1.931644E-03
 7.008746E-04, 1.957120E-03
 7.108871E-04, 1.982595E-03
 7.208996E-04, 2.008071E-03
 7.309121E-04, 2.033546E-03
 7.409247E-04, 2.059022E-03
 7.509371E-04, 2.084497E-03
 7.609497E-04, 2.109973E-03
 7.709622E-04, 2.135448E-03
 7.809747E-04, 2.160924E-03
 7.909872E-04, 2.186399E-03
 8.009997E-04, 2.211875E-03
 8.110122E-04, 2.237350E-03
 8.210247E-04, 2.262826E-03
 8.310372E-04, 2.288127E-03
 8.410498E-04, 2.312625E-03
 8.510622E-04, 2.337123E-03
 8.610748E-04, 2.361621E-03
 8.710873E-04, 2.386119E-03
 8.810998E-04, 2.410617E-03
 8.911123E-04, 2.435114E-03
 9.011248E-04, 2.459612E-03
 9.111373E-04, 2.484110E-03
 9.211499E-04, 2.508608E-03
 9.311623E-04, 2.533106E-03
 9.411749E-04, 2.557604E-03
 9.511873E-04, 2.582102E-03
 9.611999E-04, 2.606600E-03
 9.712123E-04, 2.631098E-03
 9.812248E-04, 2.655596E-03
 9.912372E-04, 2.680094E-03
 1.001250E-03, 2.704412E-03
 1.011262E-03, 2.727834E-03
 1.021275E-03, 2.751257E-03
 1.031287E-03, 2.774679E-03
 1.041300E-03, 2.798101E-03
 1.051312E-03, 2.821523E-03
 1.061324E-03, 2.844946E-03
 1.071337E-03, 2.868368E-03
 1.081349E-03, 2.891790E-03
 1.091362E-03, 2.915212E-03
 1.101374E-03, 2.938635E-03
 1.111387E-03, 2.962057E-03
 1.121399E-03, 2.985479E-03
 1.131412E-03, 3.008902E-03
 1.141424E-03, 3.032323E-03
 1.151436E-03, 3.055746E-03
 1.161449E-03, 3.079168E-03
 1.171461E-03, 3.102591E-03
 1.181474E-03, 3.126012E-03
 1.191486E-03, 3.148898E-03
 1.201499E-03, 3.171138E-03
 1.211511E-03, 3.193377E-03
 1.221524E-03, 3.215616E-03
 1.231536E-03, 3.237855E-03
 1.241549E-03, 3.260094E-03
 1.251561E-03, 3.282334E-03
 1.261574E-03, 3.304573E-03
 1.271586E-03, 3.326812E-03
 1.281598E-03, 3.349051E-03
 1.291611E-03, 3.371290E-03
 1.301623E-03, 3.393530E-03
 1.311636E-03, 3.415769E-03
 1.321648E-03, 3.438008E-03
 1.331661E-03, 3.460247E-03
 1.341673E-03, 3.482486E-03
 1.351685E-03, 3.504725E-03
 1.361698E-03, 3.526965E-03
 1.371710E-03, 3.549204E-03
 1.381723E-03, 3.571443E-03
 1.391735E-03, 3.593682E-03
 1.401748E-03, 3.614790E-03
 1.411760E-03, 3.635728E-03
 1.421773E-03, 3.656665E-03
 1.431785E-03, 3.677603E-03
 1.441798E-03, 3.698541E-03
 1.451810E-03, 3.719478E-03
 1.461823E-03, 3.740415E-03
 1.471835E-03, 3.761353E-03
 1.481847E-03, 3.782291E-03
 1.491860E-03, 3.803228E-03
 1.501872E-03, 3.824166E-03
 1.511885E-03, 3.845104E-03
 1.521897E-03, 3.866041E-03
 1.531910E-03, 3.886978E-03
 1.541922E-03, 3.907916E-03
