Distance,X-Velocity
 0.000000E+00, 2.567827E-03
 1.001249E-05, 2.577006E-03
 2.002498E-05, 2.586184E-03
 3.003747E-05, 2.595362E-03
 4.004996E-05, 2.604541E-03
 5.006246E-05, 2.613719E-03
 6.007495E-05, 2.622897E-03
 7.008744E-05, 2.632075E-03
 8.009993E-05, 2.641254E-03
 9.011241E-05, 2.650432E-03
 1.001249E-04, 2.659610E-03
 1.101374E-04, 2.668789E-03
 1.201499E-04, 2.677967E-03
 1.301624E-04, 2.687145E-03
 1.401749E-04, 2.696324E-03
 1.501874E-04, 2.705502E-03
 1.601999E-04, 2.714680E-03
 1.702124E-04, 2.723859E-03
 1.802248E-04, 2.733037E-03
 1.902373E-04, 2.742216E-03
 2.002498E-04, 2.751394E-03
 2.102623E-04, 2.760572E-03
 2.202748E-04, 2.769750E-03
 2.302873E-04, 2.778928E-03
 2.402998E-04, 2.788107E-03
 2.503123E-04, 2.797285E-03
 2.603248E-04, 2.806464E-03
 2.703373E-04, 2.815642E-03
 2.803497E-04, 2.824820E-03
 2.903623E-04, 2.833998E-03
 3.003747E-04, 2.843177E-03
 3.103872E-04, 2.852355E-03
 3.203997E-04, 2.861533E-03
 3.304122E-04, 2.870712E-03
 3.404247E-04, 2.879890E-03
 3.504371E-04, 2.889068E-03
 3.604496E-04, 2.898247E-03
 3.704621E-04, 2.907425E-03
 3.804746E-04, 2.916603E-03
 3.904871E-04, 2.925782E-03
 4.004995E-04, 2.934960E-03
 4.105120E-04, 2.944138E-03
 4.205245E-04, 2.953316E-03
 4.305370E-04, 2.962495E-03
 4.405495E-04, 2.971673E-03
 4.505619E-04, 2.980851E-03
 4.605744E-04, 2.990029E-03
 4.705869E-04, 2.999208E-03
 4.805994E-04, 3.008386E-03
 4.906119E-04, 3.017565E-03
 5.006244E-04, 3.026743E-03
 5.106369E-04, 3.035921E-03
 5.206494E-04, 3.045099E-03
 5.306619E-04, 3.054278E-03
 5.406744E-04, 3.063456E-03
