 ISWEEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
    50,  1.033074E+00,  2.852727E-01, -9.929057E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.874554E-04, -5.849645E-04,  2.693107E-03,  5.000000E-01
   100,  1.488575E+00,  2.699280E-01, -1.463897E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.448703E-04, -1.807981E-04,  1.517220E-03,  5.000000E-01
   150,  1.884827E+00,  2.500937E-01, -1.868161E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  9.189058E-05, -1.714467E-04,  1.648105E-03,  5.000000E-01
   200,  2.269166E+00,  2.145975E-01, -2.258996E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  7.049332E-05, -1.956878E-04,  2.388432E-03,  5.000000E-01
   250,  2.565762E+00,  1.738181E-01, -2.559868E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  5.881668E-05, -2.123083E-04,  3.465103E-03,  5.000000E-01
   300,  2.872871E+00,  1.191591E-01, -2.870399E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.910742E-05, -2.741738E-04,  7.016631E-03,  5.000000E-01
   350,  3.312710E+00,  5.859936E-02, -3.312191E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.952174E-05, -2.587861E-04,  1.513107E-02,  5.000000E-01
   400,  3.686831E+00,  8.401923E-03, -3.686822E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.414569E-05, -2.572364E-04,  1.145607E-01,  5.000000E-01
   450,  3.938455E+00, -2.650707E-02, -3.938365E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.259237E-06, -1.932082E-04, -2.862124E-02,  5.000000E-01
   500,  4.063207E+00, -6.322433E-02, -4.062715E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.300671E-05, -9.889171E-05, -6.148933E-03,  5.000000E-01
   550,  4.064414E+00, -9.848227E-02, -4.063221E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.443344E-05, -2.251875E-05, -7.825289E-04,  5.000000E-01
   600,  3.984638E+00, -1.281248E-01, -3.982577E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.200939E-05,  1.743470E-05,  6.356649E-04,  5.000000E-01
   650,  3.848206E+00, -1.451059E-01, -3.845469E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -7.488837E-06,  4.419265E-05,  1.222764E-03,  5.000000E-01
   700,  3.687628E+00, -1.491353E-01, -3.684611E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.806840E-06,  6.583174E-05,  1.645293E-03,  5.000000E-01
   750,  3.546459E+00, -1.413847E-01, -3.543640E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.805745E-07,  8.279157E-05,  2.072380E-03,  5.000000E-01
   800,  3.440232E+00, -1.258475E-01, -3.437930E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.644686E-06,  9.264173E-05,  2.517738E-03,  5.000000E-01
   850,  3.365933E+00, -1.050199E-01, -3.364294E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.446691E-06,  9.800586E-05,  3.116303E-03,  5.000000E-01
   900,  3.314109E+00, -8.061728E-02, -3.313128E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.520468E-06,  9.984642E-05,  4.059719E-03,  5.000000E-01
   950,  3.277775E+00, -5.354266E-02, -3.277338E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.103052E-06,  9.753408E-05,  5.893415E-03,  5.000000E-01
  1000,  3.251408E+00, -2.478995E-02, -3.251313E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.273391E-06,  9.166059E-05,  1.184931E-02,  5.000000E-01
  1050,  3.231014E+00,  4.164098E-03, -3.231011E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.946848E-06,  8.253547E-05, -6.309318E-02,  5.000000E-01
  1100,  3.214128E+00,  3.076618E-02, -3.213981E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.119817E-06,  6.890623E-05, -7.096867E-03,  5.000000E-01
  1150,  3.199402E+00,  5.218316E-02, -3.198977E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.899178E-06,  4.989636E-05, -3.022395E-03,  5.000000E-01
