 TIME, ISTEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
 6.000001E-02,    10,  5.835071E-01,  4.530659E-06, -5.835071E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.022531E-08,  9.371290E-07, -1.233387E-01,  5.000000E-01
 1.200000E-01,    20,  7.861014E-01,  9.580577E-06, -7.861014E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.560712E-10,  7.277167E-07, -5.827965E-02,  5.000000E-01
 1.799999E-01,    30,  1.404944E+00,  8.864457E-06, -1.404944E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.520813E-08,  2.172116E-07, -3.121859E-02,  5.000000E-01
 2.399999E-01,    40,  2.238536E+00,  9.561609E-07, -2.238536E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.682894E-08,  1.139029E-07, -2.882007E-01,  5.000000E-01
 2.999998E-01,    50,  3.140526E+00,  6.224439E-05, -3.140526E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.008372E-07,  3.279394E-07, -1.839868E-02,  5.000000E-01
 3.599998E-01,    60,  3.740383E+00,  2.010392E-04, -3.740383E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.288539E-07,  1.036277E-06, -1.989105E-02,  5.000000E-01
 4.199998E-01,    70,  3.836586E+00,  3.076599E-04, -3.836586E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.007457E-07,  1.866951E-06, -2.355391E-02,  5.000000E-01
 4.799997E-01,    80,  3.614323E+00,  3.358700E-04, -3.614323E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -7.456564E-08,  2.461910E-06, -2.675795E-02,  5.000000E-01
 5.399995E-01,    90,  3.326271E+00,  3.287629E-04, -3.326271E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -6.945922E-08,  2.831708E-06, -2.886428E-02,  5.000000E-01
 5.999995E-01,   100,  3.092947E+00,  3.100810E-04, -3.092947E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -7.345027E-08,  2.982056E-06, -3.005642E-02,  5.000000E-01
 6.599994E-01,   110,  2.933383E+00,  2.765759E-04, -2.933383E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -8.241729E-08,  2.913593E-06, -3.120774E-02,  5.000000E-01
 7.199994E-01,   120,  2.840980E+00,  2.270372E-04, -2.840980E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -8.308920E-08,  2.616383E-06, -3.307149E-02,  5.000000E-01
 7.799993E-01,   130,  2.791172E+00,  1.377264E-04, -2.791172E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -8.022405E-08,  2.144096E-06, -4.403683E-02,  5.000000E-01
 8.399993E-01,   140,  2.762961E+00, -1.696507E-05, -2.762961E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -7.844556E-08,  1.517391E-06,  2.525758E-01,  5.000000E-01
 8.999991E-01,   150,  2.743475E+00, -2.541500E-04, -2.743475E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -8.385193E-08,  8.145715E-07,  9.092637E-03,  5.000000E-01
 9.599991E-01,   160,  2.726697E+00, -5.920146E-04, -2.726697E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -9.695055E-08,  3.723847E-08,  3.193116E-04,  5.000000E-01
 1.019999E+00,   170,  2.710456E+00, -1.037739E-03, -2.710455E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.158650E-07, -7.251457E-07, -1.787423E-03,  5.000000E-01
 1.080000E+00,   180,  2.694286E+00, -1.598153E-03, -2.694286E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.315535E-07, -1.484298E-06, -2.419278E-03,  5.000000E-01
 1.140000E+00,   190,  2.680074E+00, -2.255849E-03, -2.680073E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.445264E-07, -2.258816E-06, -2.619060E-03,  5.000000E-01
 1.200001E+00,   200,  2.666831E+00, -2.979787E-03, -2.666830E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.569104E-07, -2.934463E-06, -2.574563E-03,  5.000000E-01
 1.260001E+00,   210,  2.655753E+00, -3.757431E-03, -2.655751E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.517709E-07, -3.534246E-06, -2.457848E-03,  5.000000E-01
 1.320001E+00,   220,  2.648883E+00, -4.537655E-03, -2.648879E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.386486E-07, -4.062982E-06, -2.341049E-03,  5.000000E-01
 1.380002E+00,   230,  2.644632E+00, -5.269068E-03, -2.644627E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.007922E-07, -4.627324E-06, -2.302684E-03,  5.000000E-01
 1.440002E+00,   240,  2.641323E+00, -5.849855E-03, -2.641317E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -5.000642E-08, -5.117441E-06, -2.301744E-03,  5.000000E-01
 1.500003E+00,   250,  2.638688E+00, -6.202286E-03, -2.638681E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.771822E-09, -5.048711E-06, -2.146273E-03,  5.000000E-01
 1.560003E+00,   260,  2.637972E+00, -6.340092E-03, -2.637964E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  5.703242E-08, -4.469067E-06, -1.868463E-03,  5.000000E-01
 1.620003E+00,   270,  2.639397E+00, -6.226927E-03, -2.639390E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.201503E-07, -3.849128E-06, -1.651851E-03,  5.000000E-01
 1.680004E+00,   280,  2.641745E+00, -5.820485E-03, -2.641738E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.000327E-07, -3.271274E-06, -1.519391E-03,  5.000000E-01
